,popularity,original_title,director,runtime,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,net_adj,action,science_fiction,thriller,crime,family,drama,tv_movie,animation,mystery,adventure,war,music,foreign,comedy,horror,documentary,fantasy,western,romance,no_genre,history,release_day,holiday,release_year_groups
0,32.985763,Jurassic World,Colin Trevorrow,124,"Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu",2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
1,28.419936,Mad Max: Fury Road,George Miller,120,"Village Roadshow Pictures,Kennedy Miller Productions",2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031,210161353.20900503,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
2,13.112507,Insurgent,Robert Schwentke,119,"Summit Entertainment,Mandeville Films,Red Wagon Entertainment,NeoReel",2015-03-18,2480,6.3,2015,101199955.472019,271619025.407628,170419069.93560898,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
3,11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,"Lucasfilm,Truenorth Productions,Bad Robot",2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182,1718723210.761785,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
4,9.335014,Furious 7,James Wan,137,"Universal Pictures,Original Film,Media Rights Capital,Dentsu,One Race Films",2015-04-01,2947,7.3,2015,174799923.088033,1385748801.47052,1210948878.382487,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
5,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,"Regency Enterprises,Appian Way,CatchPlay,Anonymous Content,New Regency Pictures",2015-12-25,3929,7.2,2015,124199945.352024,490314247.021731,366114301.669707,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Friday,True,"(2010.0, 2015.0]"
6,8.654359,Terminator Genisys,Alan Taylor,125,"Paramount Pictures,Skydance Productions",2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766,262755138.427739,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
7,7.6674,The Martian,Ridley Scott,141,"Twentieth Century Fox Film Corporation,Scott Free Productions,Mid Atlantic Films,International Traders,TSG Entertainment",2015-09-30,4572,7.6,2015,99359956.2816192,547749654.310152,448389698.02853286,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
8,7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,"Universal Pictures,Illumination Entertainment",2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.79551,996112046.7506969,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
9,6.326804,Inside Out,Pete Docter,94,"Walt Disney Pictures,Pixar Animation Studios,Walt Disney Studios Motion Pictures",2015-06-09,3935,8.0,2015,160999929.160031,785411574.698907,624411645.538876,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
10,6.200282,Spectre,Sam Mendes,148,"Columbia Pictures,Danjaq,B24",2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075,584820382.9590319,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Monday,False,"(2010.0, 2015.0]"
11,6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,"Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros.",2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802,7348699.166572005,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
12,6.118847,Ex Machina,Alex Garland,108,"DNA Films,Universal Pictures International (UPI),Film4",2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677,20119852.027265098,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
13,5.984995,Pixels,Chris Columbus,105,"Columbia Pictures,Happy Madison Productions",2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748,143186060.7181324,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
14,5.944927,Avengers: Age of Ultron,Joss Whedon,141,"Marvel Studios,Prime Focus,Revolution Sun Studios",2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177,1035032450.2257209,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
15,5.8984,The Hateful Eight,Quentin Tarantino,167,"Double Feature Films,The Weinstein Company,FilmColony",2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332,102819262.3995242,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Friday,True,"(2010.0, 2015.0]"
16,5.749758,Taken 3,Olivier Megaton,109,"Twentieth Century Fox Film Corporation,M6 Films,Canal+,EuropaCorp,CinÃ©+",2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785,255549597.6381765,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,True,"(2010.0, 2015.0]"
17,5.573184,Ant-Man,Peyton Reed,115,Marvel Studios,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936,357513832.653913,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
18,5.556818,Cinderella,Kenneth Branagh,112,"Walt Disney Pictures,Genre Films,Beagle Pug Films,Allison Shearmur Productions",2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268,411563063.6722511,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Thursday,False,"(2010.0, 2015.0]"
